City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,burley,42.5357,-113.7928,8.98,40,0,2.06,US,1727878442
83,saint albans,51.75,-0.3333,14.61,89,100,6.17,GB,1727878523
84,weno,7.4515,151.8468,25.97,89,100,0.0,FM,1727878524
85,kabompo,-13.5927,24.2008,36.48,13,89,5.25,ZM,1727878525
86,cotonou,6.3654,2.4183,27.39,78,94,5.83,BJ,1727878280
87,zaxo,37.1482,42.7001,27.48,27,0,2.51,IQ,1727878527
88,arraial do cabo,-22.9661,-42.0278,31.98,43,0,7.72,BR,1727878528
89,fort mcmurray,56.7268,-111.381,-0.23,80,100,4.12,CA,1727878529
90,carnarvon,-24.8667,113.6333,18.08,63,97,8.89,AU,1727878530
91,guatrache,-37.6678,-63.5302,13.46,30,0,6.6,AR,1727878531
92,worland,44.0169,-107.9554,3.25,48,0,1.54,US,1727878260
93,cabo san lucas,22.8909,-109.9124,27.17,73,20,4.63,MX,1727878534
94,pont rouge,48.8833,-72.0825,12.87,80,100,4.77,CA,1727878535
95,taulaga,-11.0553,-171.0883,26.95,80,29,6.47,AS,1727878536
96,yarmouth,41.7057,-70.2286,17.78,78,75,6.17,US,1727878340
97,thompson,55.7435,-97.8558,1.09,86,40,5.66,CA,1727878538
98,hawaiian paradise park,19.5933,-154.9731,22.16,100,0,2.06,US,1727878539
99,bangar,16.8936,120.4243,26.19,85,100,1.96,PH,1727878541
100,wau,7.7029,27.9953,29.81,63,97,1.16,SS,1727878542
101,zaozersk,69.4005,32.4476,5.11,74,68,6.73,RU,1727878543
102,okhotsk,59.3833,143.3,4.66,79,74,1.22,RU,1727878544
103,klyuchi,52.2667,79.1667,8.21,35,58,4.69,RU,1727878546
104,puerto aysen,-45.4,-72.7,6.34,96,73,2.06,CL,1727878547
105,anaconda,46.1285,-112.9423,8.57,45,31,3.7,US,1727878548
106,port alfred,-33.5906,26.891,18.99,70,77,1.34,ZA,1727878549
107,longyearbyen,78.2186,15.6401,-3.64,86,88,1.68,SJ,1727878550
108,antsiranana,-12.2787,49.2917,25.82,69,41,6.97,MG,1727878551
109,tsiombe,-25.3,45.4833,20.71,60,100,5.33,MG,1727878552
110,hammerfest,70.6634,23.6821,4.25,93,40,2.06,NO,1727878553
111,tateyama,34.9833,139.8667,25.31,87,40,0.58,JP,1727878554
112,queenstown,-31.8976,26.8753,18.17,26,91,5.16,ZA,1727878293
113,afaahiti,-17.75,-149.2833,24.57,80,100,1.82,PF,1727878556
114,new norfolk,-42.7826,147.0587,7.06,93,0,0.93,AU,1727878557
115,twon-brass,4.3151,6.2418,26.78,80,100,6.32,NG,1727878558
116,arab,34.3182,-86.4958,19.92,63,0,2.56,US,1727878280
117,westport,41.1415,-73.3579,17.93,75,0,5.66,US,1727878351
118,awjilah,29.1081,21.2869,29.25,31,0,2.95,LY,1727878561
119,yarkovo,57.4028,67.0786,5.88,60,0,1.99,RU,1727878563
120,thunder bay,48.4001,-89.3168,13.99,54,100,5.66,CA,1727878448
121,paita,-5.0892,-81.1144,19.35,80,74,3.09,PE,1727878565
122,la passe,45.5549,-0.8967,17.75,57,99,2.17,FR,1727878566
123,atafu village,-8.5421,-172.5159,27.34,74,9,3.4,TK,1727878567
124,didim,37.3756,27.2678,24.2,51,0,6.3,TR,1727878568
125,hadibu,12.65,54.0333,26.95,74,30,0.73,YE,1727878569
126,sitka,57.0531,-135.33,7.94,81,100,2.57,US,1727878479
127,yung shue wan,22.2333,114.1167,27.01,53,80,1.79,HK,1727878571
128,baykal'sk,51.5058,104.1469,10.94,80,99,2.48,RU,1727878572
